imagen_base,par_lpips,lpips_sim,par_msssim,ms_ssim
C:\workspace\data\test\impressionism\philip-wilson-steer_what-of-the-war.jpg,C:\workspace\data\test\impressionism\benjamin-brown_eleanora-muse-in-blue-dress-1897.jpg,0.4579,C:\workspace\data\test\impressionism\henri-de-toulouse-lautrec_portrait-of-a-young-woman.jpg,0.4262
C:\workspace\data\test\impressionism\tom-roberts_washing-day-kallista-1925.jpg,C:\workspace\data\test\impressionism\georges-seurat_a-canoes-1885.jpg,0.3866,C:\workspace\data\test\impressionism\philip-wilson-steer_a-classic-landscape-richmond.jpg,0.2031
C:\workspace\data\test\impressionism\antoine-blanchard_porte-st-denis-8.jpg,C:\workspace\data\test\impressionism\antoine-blanchard_rue-royal-madeleine-4.jpg,0.5075,C:\workspace\data\test\impressionism\valentin-serov_portrait-of-liudmila-mamontova-1894.jpg,0.1851
C:\workspace\data\test\impressionism\laszlo-mednyanszky_under-the-cross-1892.jpg,C:\workspace\data\test\impressionism\leo-gausson_les-grands-arbres-dans-la-clairiere.jpg,0.4263,C:\workspace\data\test\impressionism\pierre-jacques-pelletier_vue-portuaire.jpg,0.2012
C:\workspace\data\test\impressionism\robert-spencer_the-evangelist-1919.jpg,C:\workspace\data\test\impressionism\john-singer-sargent_flotsam-and-jetsam-1908.jpg,0.4782,C:\workspace\data\test\impressionism\henry-ossawa-tanner_the-good-shepherd-1903.jpg,0.2543
C:\workspace\data\test\impressionism\colette-pope-heldner_swamp-idyl-1949.jpg,C:\workspace\data\test\impressionism\colette-pope-heldner_swamp-idyl-lousiana-bayou-country.jpg,0.4775,C:\workspace\data\test\impressionism\maxime-maufra_fishermen-on-the-banks-of-the-loire-1889.jpg,0.1766
C:\workspace\data\test\impressionism\emil-carlsen_the-french-fan-1922.jpg,C:\workspace\data\test\impressionism\adam-baltatu_winter-landscape-1.jpg,0.4842,C:\workspace\data\test\impressionism\alfredo-andersen_queimadas-ou-lavadeiras.jpg,0.3239
C:\workspace\data\test\impressionism\gregoire-boonzaier_windswept-trees-1945.jpg,C:\workspace\data\test\impressionism\john-singer-sargent_flotsam-and-jetsam-1908.jpg,0.4918,C:\workspace\data\test\impressionism\edouard-manet_almonds-currants-and-peaches-1869.jpg,0.1621
C:\workspace\data\test\impressionism\federico-zandomeneghi_figure-of-man-sitting.jpg,C:\workspace\data\test\impressionism\rupert-bunny_self-portrait-1895.jpg,0.5055,C:\workspace\data\test\impressionism\armando-reveron_el-rancho-el-caney-1930.jpg,0.4656
C:\workspace\data\test\impressionism\arkhip-kuindzhi_red-sunset-1.jpg,C:\workspace\data\test\impressionism\gustave-caillebotte_garlic-cloves-and-knife-on-the-corner-of-a-table.jpg,0.4438,C:\workspace\data\test\impressionism\jane-sutherland_jessie-sutherland-1905.jpg,0.3846
