Image1,Image2,Method,Layer,Similarity
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv1_1,0.900553
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv1_2,0.964200
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv2_1,0.986566
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv2_2,0.987108
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv3_1,0.968552
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv3_2,0.969202
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv3_3,0.957530
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv3_4,0.976270
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv4_1,0.959279
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv4_2,0.960266
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv4_3,0.938474
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv4_4,0.961583
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv5_1,0.868241
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv5_2,0.873391
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv5_3,0.830650
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,gram,conv5_4,0.906991
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv1_1,0.379686
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv1_2,0.132328
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv2_1,0.080684
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv2_2,0.164760
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv3_1,0.162476
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv3_2,0.179981
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv3_3,0.171869
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv3_4,0.377936
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv4_1,0.366036
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv4_2,0.410026
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv4_3,0.435366
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv4_4,0.589772
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv5_1,0.457273
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv5_2,0.512434
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv5_3,0.536950
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,conv,conv5_4,0.715283
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,fc,fc1,0.440034
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,fc,fc2,0.465909
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_hue,william-merritt-chase_girl-with-tambourine_hsv_hue,fc,fc3,0.176847
