Image1,Image2,Method,Layer,Similarity
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv1_1,0.983568
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv1_2,0.926591
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv2_1,0.925621
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv2_2,0.944139
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv3_1,0.911519
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv3_2,0.918550
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv3_3,0.949286
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv3_4,0.979639
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv4_1,0.960431
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv4_2,0.962181
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv4_3,0.964192
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv4_4,0.980125
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv5_1,0.912202
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv5_2,0.914003
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv5_3,0.901746
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,gram,conv5_4,0.961590
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv1_1,0.651601
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv1_2,0.233492
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv2_1,0.246347
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv2_2,0.282103
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv3_1,0.357635
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv3_2,0.330606
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv3_3,0.318700
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv3_4,0.502452
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv4_1,0.506315
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv4_2,0.569826
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv4_3,0.573185
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv4_4,0.696267
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv5_1,0.576735
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv5_2,0.638173
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv5_3,0.657709
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,conv,conv5_4,0.779824
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,fc,fc1,0.715143
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,fc,fc2,0.755154
federico-zandomeneghi_woman-leaning-on-a-chair_texture,william-merritt-chase_girl-with-tambourine_texture,fc,fc3,0.344811
