Image1,Image2,Method,Layer,Similarity
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv1_1,0.919145
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv1_2,0.879100
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv2_1,0.926308
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv2_2,0.918864
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv3_1,0.780854
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv3_2,0.856948
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv3_3,0.880835
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv3_4,0.950127
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv4_1,0.902076
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv4_2,0.914552
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv4_3,0.896194
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv4_4,0.938498
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv5_1,0.797465
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv5_2,0.806862
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv5_3,0.761172
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,gram,conv5_4,0.884509
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv1_1,0.254880
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv1_2,0.115653
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv2_1,0.270219
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv2_2,0.215164
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv3_1,0.236971
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv3_2,0.243585
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv3_3,0.236627
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv3_4,0.413439
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv4_1,0.432791
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv4_2,0.475997
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv4_3,0.465011
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv4_4,0.597052
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv5_1,0.447171
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv5_2,0.498099
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv5_3,0.494237
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,conv,conv5_4,0.660553
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,fc,fc1,0.312945
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,fc,fc2,0.345714
federico-zandomeneghi_woman-leaning-on-a-chair_constrast,william-merritt-chase_girl-with-tambourine_constrast,fc,fc3,0.151855
